ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001415889-25-013171	0	6	276583479	N
0001853322-25-000005	0	1201	2200978364	N
0001892688-25-000127	0	14	54703134	N
0001306923-25-000014	0	44	525145307	N
0001104659-25-049525	4	33	1629806741	
0001085146-25-003349	0	26	1040039399	N
0002032489-25-000002	0	1	129615569	Y
0001830922-25-000003	0	114	110040856	N
0001632813-25-000001	1	304	5257886	N
0001398344-25-009656	0	1283	12518017050	
0001912699-25-000006	0	2	770360	N
0001653202-25-000002	0	53	207305023	N
0001104659-25-049518	0	89	9036702464	
0001750312-25-000007	0	678	34278225035	N
0000902664-25-002433	0	22	764938068	
0001080369-25-000007	0	183	1743460677	N
0001013594-25-000679	0	14	1746755075	
0001104659-25-049517	0	3	177663074	Y
0001636587-25-000019	0	8	172853813	N
0001892688-25-000126	0	31	335856177	N
0001221073-25-000057	0	120	604328130	
0001929389-25-000004	0	22	659595188	N
0001086416-25-000009	1	58	358871845	N
0001013594-25-000678	2	41	15156102965	
0001085146-25-003348	0	25	119503109	N
0001798849-25-000005	0	51	11189852067	
0001172661-25-002394	0	13	535079324	
0000919574-25-003258	1	8	918234363	
0001420506-25-001293	0	64	2844802567	N
0000049969-25-000006	7	443	538308	
0001580642-25-003145	0	179	182175515	
0001849457-25-000002	0	18	793118438	N
0000919574-25-003257	2	61	1598815448	
0001641172-25-010999	0	20	116695988	
0001104659-25-049514	0	9	134491297	
0001172661-25-002393	0	35	4366367489	
0001633870-25-000002	1	122	808661813	N
0000947871-25-000533	0	235	5657078208	
0002043585-25-000004	0	8	2212436862	N
0001085146-25-003347	0	18	633292558	N
0001085146-25-003346	0	0	0	N
0000902664-25-002428	1	11	2676494701	
0001770532-25-000004	0	69	314332285	N
0001085146-25-003345	0	973	6578981616	N
0001104659-25-049507	0	4	1954922196	
0001085146-25-003344	0	30	383434299	N
0001172661-25-002392	1	51	2398717839	
0000902664-25-002424	2	7	1635654500	
0000902664-25-002421	1	49	3539417616	
0001172661-25-002390	0	8	4061992739	
0001892688-25-000125	0	23	157466084	N
0001178913-25-001827	2	75	1546032875	
0001420506-25-001291	0	627	752128379	N
0000902664-25-002419	0	15	353150543	
0000905148-25-001754	1	18	525627004	
0001140361-25-019296	0	101	11911767230	
0001140361-25-019295	0	118	399555435	
0001012975-25-000250	7	8	1698225040	N
0000904454-25-000278	0	7	970126504	
0001214659-25-007898	0	48	1237769642	
0000902664-25-002418	0	17	301429665	
0000902664-25-002417	0	24	11578130343	
0000950123-25-005753	0	31	1314623581	N
0000950123-25-005752	0	29	170058249	N
0000947871-25-000532	0	9	306700541	
0001653199-25-000002	0	97	478072942	N
0001665590-25-000008	0	33	527599951	N
0001041062-25-000132	0	531	4337318296	N
0001172661-25-002386	0	726	34277773795	
0001543170-25-000003	1	9	1925699928	N
0001415889-25-013157	0	9	136486256	N
0001839435-25-000004	0	35	516795482	N
0001481669-25-000005	0	41	12346032013	N
0000947871-25-000531	0	4	16652758	
0001950972-25-000006	0	28	8740312	N
0001892688-25-000124	0	21	146523378	N
0001172661-25-002385	0	121	1241506245	
0001641172-25-010970	0	98	1882525512	
0001172661-25-002382	0	54	306819365	
0001854440-25-000004	0	14	2992418083	N
0001089355-25-000058	8	2768	51033327245	
0001596468-25-000005	0	81	301394452	N
0001398344-25-009654	0	220	611891461	
0001415889-25-013154	0	10	283578451	N
0001045810-25-000102	0	6	1147142107	N
0001922879-25-000003	0	125	415546876	N
0001645721-25-000014	0	29	384534266	N
0001172661-25-002377	0	18	3292461516	
0001214659-25-007892	0	122	110587530	
0001420506-25-001290	0	16	479228892	N
0001415889-25-013152	0	35	342580801	N
0001415889-25-013150	0	2	26906009	N
0001172661-25-002375	0	27	209449832	
0001420506-25-001288	0	97	2468396158	N
0000890203-25-000008	0	203	3630735445	N
0001892688-25-000123	0	42	2118217390	N
0000104889-25-000041	0	5	901059	N
0000950123-25-005745	0	14	1256776176	N
0000919574-25-003255	0	352	2547546309	
0001104659-25-049491	0	87	2205578000	
0001965005-25-000004	0	14	412128552	N
0002000324-25-001688	1	1494	5322825638	N
0001085146-25-003342	0	19	363420331	N
0000950123-25-005742	0	25	3159665871	N
0001012975-25-000246	3	38	1524321387	N
0001415889-25-013148	0	4	197830479	N
0001415889-25-013146	0	15	430282008	N
0001950972-25-000005	0	1	57817726	Y
0001768757-25-000006	0	16	204433861	N
0001999371-25-006214	0	6	110344531	
0001656456-25-000005	0	38	8382766354	
0001750312-25-000006	0	38	215500642	N
0000929638-25-001913	3	373	4829925222	
0000899140-25-000708	0	158	1709624123	
0001172661-25-002362	3	67	2612365571	
0001532155-25-000116	1	3221	276402811145	N
0000899140-25-000707	1	258	12345092152	
0001213900-25-044249	1	1	5896398	
0001172661-25-002360	0	26	2539075498	
0001172661-25-002359	0	1	297075756	
0000905148-25-001752	0	5	91851177	
0001892688-25-000122	0	3	1463070137	N
0001415889-25-013140	1	8	84482742	N
0000905148-25-001751	0	15	3470654224	
0001012975-25-000245	0	9	206219148	N
0001085146-25-003337	0	45	6551218361	N
0001539497-25-001390	10	21	7487554485	Y
0001085146-25-003335	0	1	360413543	N
0001172661-25-002355	1	111	4194646405	
0000905148-25-001750	0	28	18596507	
0001420506-25-001284	0	11	206763449	N
0001420506-25-001285	0	69	304117955	N
0000905148-25-001749	0	6	189425417	
0000950123-25-005738	0	40	1086083260	N
0001085146-25-003334	0	1	797597	N
0000902664-25-002410	1	24	101540834	
0001012975-25-000244	0	4	15690023	N
0001104659-25-049470	1	6	1310178757	
0000905148-25-001748	0	7	123555835	
0001999371-25-006212	0	28	5070656998	
0000899140-25-000706	0	4	219120193	
0001415889-25-013135	0	6	23102786	N
0000902664-25-002409	1	2788	16541992019	
0000902664-25-002408	1	121	1462094491	
0000905148-25-001747	0	3	29300640	
0001172661-25-002352	0	18	4615810240	
0001880562-25-000005	0	90	34307477	N
0000902664-25-002407	0	1	0	
0001085146-25-003332	0	1	72526	N
0001104659-25-049466	4	1361	1593185311	
0000905148-25-001746	1	771	2323035204	
0001641172-25-010943	0	3	3349728584	N
0001415889-25-013132	0	6	132721569	N
0001654954-25-005756	0	32	2814977620	N
0001172661-25-002351	0	41	2731086366	
0002037231-25-000009	0	31	216633013	N
0001867731-25-000005	0	58	158892477	N
0001420506-25-001282	0	54	2753415749	N
0000902664-25-002406	0	1042	8385639683	
0001172661-25-002350	0	32	1394747868	
0000899140-25-000705	0	7	154710074	
0000905148-25-001745	0	23	14771812	
0001085146-25-003331	0	3	1069890	N
0001999371-25-006211	0	697	4197876289	
0000902664-25-002405	1	832	380957754	
0001172661-25-002348	1	16	6140922452	
0001420506-25-001281	0	59	112495086	N
0000902664-25-002404	0	4	142262759	
0002018299-25-000002	0	28	332470540	N
0001769202-25-000003	0	16	734984964	N
0001879202-25-000025	2	7	199225000	
