ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001911000-25-000005	0	82	191675733	N
0001754960-25-000248	0	101	148177193	N
0001754960-25-000246	0	77	2818600377	N
0000838618-25-000005	0	476	1186341155	N
0001667731-25-000502	0	97	150757075	
0002053756-25-000002	0	473	137302360	N
0001085146-25-002303	0	81	480095893	N
0001085146-25-002302	0	98	251272502	N
0001085146-25-002301	0	189	2083530139	N
0001085146-25-002300	0	115	204740624	N
0001085146-25-002299	0	46	135437623	N
0001085146-25-002298	0	10	384405841	N
0001085146-25-002297	0	68	83661647	N
0001085146-25-002296	0	38	329549312	N
0001085146-25-002295	0	126	150968319	N
0001085146-25-002294	0	193	308562112	N
0001085146-25-002293	0	87	238864704	N
0001172661-25-001541	0	35	206066947	
0001085146-25-002292	0	39	197650487	N
0001085146-25-002291	0	124	136031985	N
0001085146-25-002290	0	205	291785565	N
0001085146-25-002289	0	121	172113777	N
0001667731-25-000500	0	292	527305183	
0001578370-25-000004	0	109	363675609	N
0001172661-25-001539	0	202	684027973	
0001801373-25-000003	0	82	123310297	N
0001085146-25-002288	0	138	431122439	N
0001085146-25-002287	0	17	189015149	N
0001085146-25-002286	0	301	1063457159	N
0001369702-25-000006	0	90	1708962636	N
0001085146-25-002285	0	70	108771209	N
0001085146-25-002284	0	77	137875428	N
0001085146-25-002283	0	324	1801084271	N
0001085146-25-002282	0	33	275546098	N
0001767902-25-000006	0	678	1511157520	N
0001085146-25-002281	0	95	186783783	N
0001085146-25-002280	2	87	163707566	N
0001085146-25-002279	0	0	0	N
0001172661-25-001538	0	10	95430566	
0001085146-25-002278	0	0	0	N
0001085146-25-002277	0	0	0	N
0001085146-25-002276	2	899	51477813668	N
0001062993-25-007837	0	100	1158024494	N
0001085146-25-002275	0	1369	12957703490	N
0001725547-25-001451	0	177	600018953	N
0001085146-25-002274	0	85	127073595	N
0002048608-25-000003	0	68	116223863	N
0001571556-25-000003	0	381	4781954821	N
0001725547-25-001450	0	68	213441120	N
0001339270-25-000002	0	298	907209	N
0002025905-25-000003	1	95	1425362326	N
0001822262-25-000002	0	86	126763993	N
0001140361-25-015196	1	626	623100821	
0002027950-25-000004	0	25	135205413	N
0002053368-25-000002	0	83	102738971	N
0000819864-25-000004	0	2060	1252586841	N
0001729457-25-000002	0	77	201899333	N
0001963669-25-000002	0	72	251491852	N
0000950123-25-003651	0	7	1172859894	N
0001719739-25-000002	0	389	529423869	N
0001951757-25-000441	0	198	238065641	N
0001951757-25-000440	22	173	94638210	N
0002011808-25-000002	0	26	134852982	N
0001951757-25-000439	0	1031	3895161744	N
0001951757-25-000438	1	91	239075158	N
0001951757-25-000437	2	79	441651900	N
0001951757-25-000436	0	83	133479058	N
0001951757-25-000435	0	107	258992465	N
0001318259-25-000002	0	64	371435	N
0001951757-25-000434	0	91	109961564	N
0001951757-25-000433	0	297	462011679	N
0001389848-25-000009	0	58	254832467	N
0001085146-25-002272	0	26	243009919	N
0001044924-25-000002	0	43	362314426	N
0001941369-25-000003	0	214	240117772	N
0001379995-25-000004	0	597	3410841315	N
0002044121-25-000002	0	71	159960191	N
0001703383-25-000005	0	898	306732262	N
0000720005-25-000047	13	12438	270844134186	N
0001972138-25-000003	0	48	224914532	N
0001062993-25-007820	0	67	268644339	N
0001776033-25-000004	0	36317	673025652	N
0001085146-25-002270	0	72	185176130	N
0001725547-25-001448	0	144	188536033	N
0001009005-25-000003	0	94	207611389	N
0000892712-25-000057	0	25	154953891	N
0001085146-25-002268	0	119	78884824	N
0001835206-25-000003	0	40	110842421	N
0000799003-25-000002	0	52	122617	N
0001085146-25-002267	0	172	344880969	N
0001085146-25-002266	0	173	446724395	N
0001980695-25-000005	0	76	41175292	N
0001858740-25-000002	0	2464	3123702441	N
0002038170-25-000002	0	50	226131361	N
0001807909-25-000002	3	189	159327001	N
0000930413-25-001363	7	7924	55775789	
0001486083-25-000004	0	98	208509319	N
0001810089-25-000003	0	526	492831223	N
0001802132-25-000002	0	227	108864	N
0001214659-25-006263	0	15	143073438	
0001693032-25-000005	0	31	147827948	N
0001995674-25-000003	0	20	227734465	N
0001085146-25-002265	0	73	144353255	N
0001085146-25-002264	0	74	165960947	N
0000919079-25-000004	0	1142	149518210040	
0001085146-25-002263	0	36	248586971	N
0002043729-25-000001	0	27	198062695	N
0001561330-25-000002	0	122	143344939	N
0000950123-25-003643	0	164	239395910	N
0001398344-25-007540	0	103	891121336	
0001725547-25-001447	0	163	785399946	N
0001085146-25-002262	0	119	111771437	N
0001986152-25-000032	0	37	144052573	N
0001725547-25-001445	0	166	452017644	N
0001754960-25-000245	0	110	153892727	N
0001762086-25-000003	0	56	275506	N
0001989672-25-000003	2	152	405052256	N
0001104659-25-037849	0	52	679849378	
0001080201-25-000002	0	71	388877	N
0001104659-25-037844	0	97	2510595573	
0001632968-25-000003	0	132	1197951642	N
0001928877-25-000005	0	40	166133815	N
0001993325-25-000003	0	135	133928179	N
0001956824-25-000005	0	498	2327092259	N
0001845003-25-000002	0	430	505216948	N
0001062993-25-007803	0	207	354372794	N
0001803988-25-000002	0	56	187732	N
0001990849-25-000005	0	278	428240216	N
0001800911-25-000002	0	348	189284990	N
0001062993-25-007801	0	21	74586550	N
0001420506-25-000811	0	263	531140451	N
0001398344-25-007536	0	119	1247864401	
0001791621-25-000004	0	4	232375361	N
0000941519-25-000003	0	260	278157012	N
0001426449-25-000010	0	8	1893355	N
0001963421-25-000002	0	235	4762314	N
0001594492-25-000002	0	261	283193478	N
0001754960-25-000244	0	99	229202051	N
0001606609-25-000002	0	289	682798743	N
0001754960-25-000243	0	30	95966662	N
0001641438-25-000006	0	113	648943427	N
0001754960-25-000242	0	236	943708255	N
0001016021-25-000002	0	71	119428473	N
0000908834-25-000124	0	183	176922	
0001940678-25-000001	0	332	319557844	N
0001108893-25-000003	0	75	845377546	N
0001659718-25-000005	0	78	187809902	N
0001766392-25-000002	0	14	140953	N
0001801682-25-000003	0	191	499537094	N
0001376474-25-000367	0	13	30846636	
0001667731-25-000499	0	116	285948374	
0000950123-25-003639	0	206	92012619	N
0001990080-25-000002	0	128	243459248	N
0001214659-25-006252	0	271	404467031	
0002043129-25-000003	0	130	187537	N
0000950123-25-003637	0	2	372865613	N
0000811407-25-000003	0	35	196703	N
0001667731-25-000498	0	574	2974137330	
0002056691-25-000002	0	654	206884549	N
0001697493-25-000006	0	194	719109912	N
0001420506-25-000802	0	761	1141488113	N
0001840755-25-000004	0	27	169885294	N
0001951757-25-000432	0	16	177141099	N
0001951757-25-000431	0	58	320105477	N
0001951757-25-000430	0	110	444247910	N
0001214659-25-006250	0	292	1208423292	
0001951757-25-000429	0	87	119965100	N
0001951757-25-000428	0	105	101852985	N
0001214659-25-006248	0	86	94682048	
0001951757-25-000427	0	327	414204483	N
0001951757-25-000426	0	96	127829166	N
0001951757-25-000425	0	39	267334696	N
0001951757-25-000424	0	87	106494330	N
0001951757-25-000423	0	88	174753982	N
0001951757-25-000422	0	64	330142422	N
0001085146-25-002259	0	137	201280559	N
0001398344-25-007527	0	356	804818576	
0001895252-25-000007	0	86	353373769	N
0001085146-25-002258	0	54	194667490	N
0001214659-25-006244	0	55	123909633	
0001537319-25-000002	0	170	461269702	N
0001988547-25-000002	0	50	60712916	N
0001398344-25-007524	0	292	111338608	
0001085146-25-002257	2	1146	31273176734	N
0001398344-25-007522	0	198	202199547	
0002055882-25-000003	0	215	524156534	N
0001706016-25-000005	0	120	291433883	N
0000764112-25-000002	0	54	431101699	N
0002011229-25-000002	0	59	127074331	N
0001843111-25-000005	0	11	217591250	N
0001387458-25-000005	0	145	737061047	N
0002004963-25-000002	4	426	90427139	
0001777469-25-000002	0	158	111551000	N
0000950123-25-003633	0	966	28914090650	N
0001140361-25-014991	0	1173	2080493565	
0001986389-25-000002	0	156	244570371	N
0001085146-25-002233	0	44	184334991	N
0001667731-25-000492	0	78	180311360	
0001754960-25-000236	0	57	147342910	N
0001310658-25-000002	0	305	1010817120	N
0001398344-25-007512	0	82	366922756	
0001667731-25-000491	0	221	1814291319	
0001085146-25-002236	0	602	6629581405	N
0001725247-25-000003	1	231	713949	N
0002022908-25-000004	0	214	765456378	N
0001865158-25-000002	0	216	262381402	N
0001986152-25-000029	0	279	125513897	N
0001667731-25-000488	0	66	131246597	
0002024049-25-000002	0	70	246111649	N
0001085146-25-002253	0	69	3308189589	N
0001667731-25-000489	0	433	971609782	
0001754960-25-000240	0	90	168847719	N
0001085146-25-002247	0	56	209031314	N
0001730033-25-000002	0	716	711561221	N
0002047728-25-000002	0	122	110866221	N
0001966036-25-000004	0	66	163855725	N
0001085146-25-002234	0	1564	6623320142	N
0001085146-25-002245	0	53	95493605	N
0002063074-25-000002	0	111	101537493	N
0001085146-25-002242	0	98	409327922	N
0001420506-25-000801	0	1658	776401100	N
0001085146-25-002237	0	228	1699686000	N
0001085146-25-002248	0	34	323908744	N
0001754960-25-000239	0	378	624016793	N
0002031775-25-000004	0	160	221696126	N
0001085146-25-002255	0	88	210101319	
0001667731-25-000493	0	54	129911456	
0001434323-25-000003	0	193	973559276	N
0001085146-25-002244	0	36	251217093	N
0001667731-25-000495	0	218	424014777	
0001754960-25-000235	0	108	393764599	N
0002045792-25-000003	0	150	34053255	N
0001085146-25-002243	0	224	293420481	N
0001667731-25-000496	0	202	596957841	
0001085146-25-002239	0	213	575089742	N
0001561728-25-000054	0	47	615508066	N
0001754960-25-000241	0	99	133844592	N
0001085146-25-002249	0	39	90093564	N
0001667731-25-000490	0	62	736028916	
0002063074-25-000004	0	112	100512538	N
0001986152-25-000030	0	131	198471837	N
0001085146-25-002251	0	69	49720081	N
0001085146-25-002254	0	161	1122228179	N
0001085146-25-002240	0	267	494426321	N
0001085146-25-002238	0	195	340955883	N
0001667731-25-000494	0	103	350605045	
0001085146-25-002241	0	102	97990186	N
0001842246-25-000002	1	10	16355880	N
0001667731-25-000497	0	290	1197176937	
0001085146-25-002252	0	115	668785169	N
0001085146-25-002250	0	151	508331763	N
0001376474-25-000366	0	46	416407247	
0001845163-25-000004	0	39	173292506	N
0002042938-25-000004	1	68	91268009	N
0001863768-25-000002	0	36	75724671	N
0001754960-25-000237	0	56	188881207	N
0001754960-25-000238	0	37	159796255	N
0002063074-25-000003	0	111	101537493	
0001085146-25-002235	59	3204	8058078881	
0001667731-25-000487	0	326	518089791	
0001667731-25-000486	0	104	442225358	
0001105467-25-000003	0	176	815520279	N
0001667731-25-000485	0	98	186597761	
0001667731-25-000484	0	46	124189854	
0001214659-25-006235	0	23	124662993	
0001599390-25-000002	0	131	224268266	N
0001667731-25-000483	0	52	105580876	
0001667731-25-000482	0	14	139262892	
0001667731-25-000481	0	170	260505363	
0001667731-25-000480	0	117	149930791	
0001951757-25-000421	0	187	299171959	N
0001951757-25-000420	1	120	164301162	N
0001951757-25-000419	0	136	126549456	N
0001667731-25-000479	0	94	101680476	
0001951757-25-000418	0	42	130178611	N
0001376474-25-000365	4	200	381658184	N
0001951757-25-000417	0	61	111137006	N
0001951757-25-000416	0	78	200324886	N
0001803081-25-000002	0	162	190812560	N
0001667731-25-000478	0	111	421354097	
0001629290-25-000004	0	34	175104	N
0001172661-25-001535	0	13	16054125	
0001667731-25-000477	0	27	116603728	
0001998574-25-000003	0	122	198351901	N
0000905729-25-000079	0	141	950800757	
0001667731-25-000476	0	182	726486581	
0002054540-25-000002	0	323	104240388	N
0001725547-25-001442	0	9	47992906	N
0001965616-25-000002	0	293	228174448	N
0001998574-25-000002	0	26	192505434	N
0001214659-25-006230	0	108	177682834	
0001667731-25-000475	0	60	85563152	
0001667731-25-000474	0	36	284251468	
0001904152-25-000002	0	84	196705837	
0001725547-25-001441	0	373	1072211582	N
0001568068-25-000002	0	1938	1477338790	N
0000014745-25-000005	0	784	345027601	N
0001691766-25-000002	0	746	1901846619	N
0001860719-25-000004	0	100	245682480	N
0001214659-25-006228	0	142	203361714	
0002048792-25-000002	0	71	167128401	
0000903064-25-000006	0	135	523806565	
0001172661-25-001534	0	97	820217950	
0001053013-25-000004	0	132	513993115	N
0001004140-25-000003	0	99	272378025	N
0001398344-25-007477	0	188	617172442	
0001735775-25-000004	0	1	93620070	N
0001580642-25-002475	0	503	504699357	
0002052970-25-000002	0	90	122093792	N
0001941040-25-000224	0	41	137635106	
0001840501-25-000005	0	100	266103476	N
0001860719-25-000003	0	112	190947692	N
0001455288-25-000011	0	57	414788799	N
0001455290-25-000004	0	8	77247882	N
0000765207-25-000025	0	222	153947354	N
0002058921-25-000003	0	179	123814964	N
0001376474-25-000358	0	114	183290819	
0002055645-25-000003	0	9	64667389	N
0001954085-25-000002	0	25	64926327	N
0001951757-25-000415	0	117	118052287	N
0001951757-25-000414	0	125	215421555	N
0001951757-25-000413	0	157	405068591	N
0001951757-25-000412	0	37	114357015	N
0001951757-25-000411	0	80	221319211	N
0001951757-25-000410	0	52	362632530	N
0001877829-25-000002	0	111	192199774	N
0001951757-25-000409	0	148	235820748	N
0001951757-25-000408	0	121	209009100	N
0001832097-25-000005	0	993	146928037	N
0001951757-25-000407	0	56	160291738	N
0001951757-25-000406	0	117	199973056	N
0001951757-25-000405	0	149	104221627	N
0001951757-25-000404	0	60	201814327	N
0001951757-25-000403	0	91	335034074	N
0001964538-25-000003	0	115	92165964	N
0001104659-25-037373	0	367	3965436367	
0001376474-25-000357	0	47	146958413	
0001350585-25-000004	0	36	1656429969	N
0001419186-25-000004	0	3495	29635708	N
0001759578-25-000008	0	167	362160419	N
0001085146-25-002232	0	66	88330260	N
0001724729-25-000003	0	27	122248725	N
0001973259-25-000002	0	128	98008792	N
0001835252-25-000002	0	182	269042824	N
0001085146-25-002231	0	514	306415666	N
0000905729-25-000078	0	148	761968447	
0001808394-25-000005	0	38	152495893	N
0001573575-25-000005	0	20	2105051837	N
0001763138-25-000004	0	72	134929278	N
0002006918-25-000002	0	105	184538638	N
0001537783-25-000004	0	493	1395582	N
0002000324-25-001411	0	287	8103786529	N
0001537783-25-000003	0	504	3280109	N
0001534561-25-000006	0	64	1190425671	N
0000928568-25-000002	0	250	1569604520	N
0001104659-25-037334	0	68	652502841	
0001905162-25-000005	0	20	149012524	N
0001803557-25-000002	0	700	782593779	N
0001105344-25-000006	0	71	570282045	N
0000873759-25-000002	0	113	178950555	N
0001765380-25-000148	0	47	645785003	N
0001162781-25-000002	0	102	900740	N
0001384484-25-000005	0	24	236046816	N
0002009781-25-000004	0	42	131435459	N
0001172661-25-001533	0	125	446445481	
0001699080-25-000004	0	1037	812966787	N
0001940646-25-000007	0	86	411422211	N
0002051355-25-000003	0	40	132714426	N
0001802635-25-000002	0	76	150240302	N
0001140361-25-014875	0	609	586266684	
0001973259-25-000001	0	124	550297438	N
0001214659-25-006208	0	48	201970406	
0000882119-25-000005	0	102	1238190618	N
0001925685-25-000003	0	260	152401302	N
0001415889-25-011140	0	5	0	N
0001172661-25-001532	0	234	483702298	
0001849561-25-000002	0	228	345137376	N
0001900406-25-000004	0	122	132467707	N
0002056438-25-000003	0	13	1355044	N
0001649107-25-000002	0	590	722814129	N
0002042928-25-000003	0	22	129034748	N
0001867958-25-000003	0	73	186322417	N
0001909993-25-000002	0	38	185015991	N
0001752579-25-000003	0	116	184567345	N
0001803980-25-000002	0	109	91190055	N
0002040317-25-000002	0	82	116778700	N
0001172661-25-001531	0	80	337151759	
0002051355-25-000002	0	38	124753334	N
0001172661-25-001530	0	105	906305359	
0001172661-25-001529	0	68	118811958	
0001768065-25-000003	0	91	164624	N
0001990195-25-000002	0	122	400147484	N
0001803994-25-000003	0	110	829116373	N
0002056939-25-000002	0	5	130257650	N
0002044675-25-000002	0	89	115562173	N
0001866040-25-000004	0	196	194794320	N
0001085146-25-002228	0	51	100406672	N
0001398344-25-007448	0	775	3070313813	
0001085146-25-002227	0	108	172100927	N
0001398344-25-007446	0	833	3041846055	
0001903153-25-000002	2	99	187273042	N
0001926037-25-000002	0	30	115236531	N
0001398344-25-007444	0	810	2659477115	
0001398344-25-007443	0	68	762596926	
0001398344-25-007440	0	814	2606074088	
0001596452-25-000006	0	31	184955	N
0001809187-25-000015	0	54	669634500	N
0001398344-25-007438	0	750	2389940639	
0001653926-25-000003	0	617	394010	N
0001705819-25-000026	0	110	399127403	
0001616328-25-000003	0	844	1778747317	N
0001006407-25-000005	0	81	915601067	N
0001985855-25-000002	0	404	204619497	N
0001862965-25-000006	0	47	203833313	N
0001161670-25-000003	0	216	1414555073	N
0001214659-25-006203	0	27	234833755	
0001731795-25-000004	0	289	161562795	N
0002042810-25-000003	0	38	109103473	N
0001062993-25-007750	0	328	2916609062	N
0001790723-25-000003	0	15	16643682	N
0001291422-25-000004	0	229	1351876977	N
0001729045-25-000005	0	186	171743466	N
0001956564-25-000003	0	123	248623432	N
0001951757-25-000402	0	32	299179017	N
0001214659-25-006201	0	130	163542572	
0001913043-25-000002	0	359	912491660	N
0001765595-25-000003	0	113	417950316	N
0001762539-25-000001	0	49	108470035	N
0001755785-25-000002	0	271	494897	N
0001898145-25-000003	0	25	135282350	N
0001398344-25-007432	0	304	192066578	
0001994512-25-000003	0	61	171247572	N
0001398344-25-007430	0	270	1384761142	
0001722436-25-000004	0	175	247558	N
0001315059-25-000005	0	82	884901296	N
0001062993-25-007747	0	78	211282025	N
0001398344-25-007428	0	185	377874544	
0001398344-25-007426	0	28	106809158	
0001986196-25-000002	0	14	125722751	N
0001697847-25-000003	0	108	681249559	N
0000919574-25-002548	0	164	465265491	
0000878770-25-000003	0	300	350036886	N
0001966482-25-000002	0	56	195046192	N
0001951757-25-000401	0	82	228467996	N
0001905083-25-000003	0	25	29633980	N
0001437749-25-012604	1	174	402127261	N
0001951757-25-000400	0	75	167171647	N
0001056825-25-000005	0	784	1470385	N
0001951757-25-000399	0	59	341168153	N
0001951757-25-000398	0	64	120135513	N
0001398344-25-007422	0	50	148015259	
0001951757-25-000397	0	18	112401676	N
0001398344-25-007420	0	8	119373117	
0001692227-25-000003	0	183	175866505	N
0001172661-25-001528	2	217	1289390579	
0001951757-25-000396	6	407	3740620503	N
0001951757-25-000395	0	70	98274963	N
0000950123-25-003620	0	243	1294024	N
0001951757-25-000394	0	122	121988876	N
0001951757-25-000393	0	172	2799148253	N
0001951757-25-000392	0	90	362664225	N
0001951757-25-000391	0	81	514720848	N
0001951757-25-000390	0	87	219273604	N
0001664017-25-000002	0	10	329159	N
0001636948-25-000003	0	114	2178406574	N
0001140361-25-014813	0	275	885178050	
0000950123-25-003617	0	6	211000125	N
0002041427-25-000002	0	93	193541204	N
0001450701-25-000004	0	7	14555181036	N
0001745796-25-000002	0	47	473685	N
0001085146-25-002211	0	46	94486616	N
0001085146-25-002212	1	183	1374336264	N
0002056907-25-000002	0	281	95046445	N
0001754960-25-000231	0	112	199940994	N
0001085146-25-002220	0	54	534053131	N
0001085146-25-002215	0	282	1478163854	N
0001085146-25-002213	0	264	848930900	N
0001737088-25-000005	0	176	147747658	N
0001520309-25-000020	0	50	8427114	N
0001085146-25-002222	0	35	172610559	N
0001085146-25-002221	0	65	117319529	N
0001697814-25-000006	0	12	365069927	N
0001908219-25-000005	0	102	6242113760	N
0001085146-25-002223	0	307	1411411277	N
0001830942-25-000001	0	110	192029213	N
0001085146-25-002214	0	55	111007044	N
0001085146-25-002209	0	156	157357431	N
0001754960-25-000232	0	66	72248629	N
0001085146-25-002219	0	175	305160337	N
0001172661-25-001525	0	95	359379638	
0001085146-25-002217	0	162	1207707109	N
0001085146-25-002208	0	127	784970045	N
0001140361-25-014785	0	114	903082173	
0001172661-25-001527	0	44	127666383	
0001754960-25-000234	0	1017	1558887315	N
0001085146-25-002216	0	596	1239758499	N
0001085146-25-002218	0	106	264038066	N
0002006637-25-000002	0	195	656145841	N
0001754960-25-000233	0	102	149919391	N
0001085146-25-002210	0	23	180475304	N
0001853401-25-000002	0	114	548324843	N
0001104659-25-036924	1	118	354679067	
0001754960-25-000230	0	123	153256445	N
0001214659-25-006185	0	275	382817552	
0001963967-25-000004	0	84	227174781	N
0001725547-25-001427	0	113	312633418	N
0001941040-25-000222	0	202	194808102	
0001725547-25-001426	0	46	109198171	N
0001725547-25-001425	0	135	183919702	N
0001754960-25-000229	0	113	236410901	N
0001754960-25-000228	0	63	94804885	N
0001754960-25-000227	0	83	175232590	N
0001104659-25-036870	0	395	493890397	
0002012065-25-000001	0	2827	274432747	N
0001767080-25-000004	0	151	477551	N
0001005607-25-000005	0	212	1734614324	N
0001965915-25-000005	0	58	139843246	
0001765380-25-000147	0	127	109876240	N
0001093589-25-000004	0	88	1541064511	N
0001825985-25-000006	0	77	523549058	N
0001754960-25-000226	0	23	215024995	N
0001140361-25-014739	0	945	25703273527	
0000701516-25-000002	0	192	941674158	N
0001754960-25-000225	0	106	111218166	N
0001754960-25-000224	0	43	137238937	N
0000752365-25-000002	0	149	332042814	N
0001725547-25-001422	0	27	148876496	N
0001754960-25-000223	0	99	324249013	N
0002001526-25-000005	0	118	131474812	N
0001962615-25-000002	0	414	477209736	N
0001846236-25-000002	0	94	1339784059	N
0002054100-25-000003	0	299	168226786	N
0001754960-25-000222	0	53	310450294	N
0001754960-25-000221	0	63	92598854	N
0001985414-25-000002	0	756	414680860	N
0001964897-25-000003	0	431	424696927	N
0001398344-25-007377	0	136	290243976	
0001112325-25-000009	0	180	6233407679	N
0001754960-25-000220	0	92	236408310	N
0001990190-25-000003	0	201	333414302	N
0001742569-25-000002	0	33	385829420	N
0001398344-25-007375	0	70	320559816	
0001754960-25-000219	0	38	122819860	N
0001964897-25-000002	0	221	201959020	N
0001942361-25-000002	0	61	363575313	N
0001754960-25-000218	0	736	2633880128	N
0002032602-25-000002	0	30873	406319091	N
0001843867-25-000006	0	101	128528903	N
0001802136-25-000003	0	250	239385241	N
0001856022-25-000006	0	4106	7803741771	N
0001172661-25-001524	0	98	139285825	
0002049470-25-000004	0	139	441709647	
0001172661-25-001523	0	120	288149722	
0001911621-25-000002	4	214	201493963	N
0001172661-25-001522	0	162	491011708	
0001768302-25-000003	0	180	632907199	N
0001754960-25-000217	0	443	655834738	N
0001092290-25-000007	0	143	1330908109	N
0001754960-25-000216	0	104	542149661	N
0001295044-25-000005	0	35	600364687	N
0001376474-25-000354	0	186	190819339	
0001697715-25-000003	0	230	768144135	N
0001398344-25-007366	0	174	259411910	
0001934657-25-000004	0	26	533778087	N
0001843867-25-000005	0	100	407361530	N
0001427263-25-000004	0	122	498058000	N
0001080576-25-000004	0	654	1089153058	N
0001834600-25-000004	0	4	405246572	N
0002004873-25-000002	0	346	487673546	N
0002032602-25-000001	0	9568	325691643	N
0001352526-25-000002	0	359	484390575	N
0000898399-25-000004	0	49	177689000	N
0001172661-25-001521	0	37	237219216	
0001623678-25-000002	0	306	383887344	N
0001977992-25-000002	0	8837	173933683	N
0001398344-25-007361	0	37	484357889	
0001999925-25-000002	0	372	642708650	N
0001598611-25-000004	0	212	167391952	N
0001794935-25-000003	0	173	876135530	N
0001329948-25-000005	0	229	1453422	N
0001667731-25-000468	0	78	183010914	
0001951757-25-000389	0	97	337170678	N
0001885767-25-000003	0	98	105182723	N
0001951757-25-000388	0	55	141790076	N
0001667731-25-000467	0	73	437098678	
0001951757-25-000387	0	58	161089102	N
0001951757-25-000386	0	94	117052320	N
0001214659-25-006146	0	1528	26138226182	
0001667731-25-000466	0	35	119702265	
0001951757-25-000385	0	14	96605489	N
0001667731-25-000465	0	181	152999485	
0001951757-25-000384	0	178	551623275	N
0001951757-25-000383	0	113	216524052	N
0001667731-25-000464	0	228	292241144	
0001941260-25-000007	0	47	169325749	N
0001386929-25-000004	0	77	729480892	N
0002053013-25-000003	0	5	112238634	N
0001398344-25-007357	0	24	157833987	
0001667731-25-000462	0	229	1249140809	
0001602476-25-000003	0	83	226804131	N
0001765380-25-000146	0	147	276834334	N
0001963839-25-000006	0	157	196598647	N
0001534866-25-000007	2	587	13687276134	N
0001909904-25-000001	0	97	504609450	N
0000929638-25-001585	0	302	869957910	
0001535611-25-000005	0	88	290991530	N
0001667731-25-000461	0	526	779432668	
0001667731-25-000460	0	146	275226480	
0001667731-25-000459	0	13	106228267	
0001667731-25-000458	0	66	132210490	
0001667731-25-000457	0	146	210490429	
0001730546-25-000003	0	148	213582718	N
0001667731-25-000456	0	805	10372237301	
0001808748-25-000002	0	83	368799259	N
0001214659-25-006144	0	170	660598101	
0001921487-25-000002	0	1134	740474821	N
0001376474-25-000353	0	574	745967887	
0001437749-25-012433	4	255	996530710	N
0001779040-25-000003	0	900	307426079	N
0001766791-25-000004	0	123	263241	N
0001172661-25-001520	0	98	351849893	
0001172661-25-001519	0	29	82853736	
0001172661-25-001518	0	288	2880816687	
0001172661-25-001517	0	73	375971495	
0001370102-25-000007	0	2116	8817110	N
0001667134-25-000003	0	600	2085766666	N
0001178913-25-001354	2	198	2572507	
0001803536-25-000003	3	159	280641362	N
0001688184-25-000003	0	88	404007836	N
0002033794-25-000002	0	193	244346917	N
0001927175-25-000002	0	114	226118	N
0000887602-25-000003	0	620	232323139	N
0001948904-25-000004	0	1004	219899304	N
0001214659-25-006138	0	114	170922192	
0002031941-25-000001	0	26	135859609	N
0002001520-25-000002	0	137	99956295	N
0001655982-25-000005	0	39	101847056	N
0001214659-25-006133	1	65	172861239	
0001951757-25-000382	0	166	450423135	N
0001951757-25-000381	6	38	128083619	N
0001398344-25-007340	0	40	1330176769	
0001172661-25-001516	0	73	645210031	
0001134687-25-000004	0	69	154275666	N
0001987855-25-000002	1	766	2616739400	N
0001012975-25-000206	0	25	57161058	N
0001062993-25-007704	0	14	530822773	N
0001178913-25-001346	0	59	309853	
0001213900-25-033475	0	115	119438120	
0001999371-25-004444	0	545	406906385	
0001085146-25-002204	0	221	257570015	N
0001989834-25-000002	0	57	143001989	N
0001842787-25-000006	0	118	279649188	N
0001494234-25-000011	5	322	348959427	N
0001616004-25-000003	0	29	125410548	N
0001729049-25-000005	0	64	249781374	N
0001992972-25-000002	0	106	170256078	N
0001085146-25-002203	0	149	122846198	N
0001221073-25-000041	0	158	173383113	N
0001221073-25-000040	3	114	299844415	
0001221073-25-000039	0	81	230405786	N
0001221073-25-000038	0	16	124099538	
0001221073-25-000037	0	22	197910592	
0001494234-25-000010	5	335	490913229	N
0001085146-25-002200	0	166	297737645	N
0001085146-25-002199	0	40	241026511	N
0001085146-25-002198	0	266	314809190	N
0001085146-25-002197	1	606	1477488208	N
0001085146-25-002196	0	40	396107149	N
0001085146-25-002195	0	147	289345886	N
0001085146-25-002194	0	230	852792262	N
0001085146-25-002193	0	87	111316002	N
0001494234-25-000009	0	127	1228236740	N
0000950123-25-003593	0	1	85891035	N
0001664214-25-000007	0	482	1592304846	N
0001957363-25-000003	0	240	259036778	N
0002003287-25-000003	0	724	292102660	N
0001767601-25-000004	0	96	588660439	N
0001910966-25-000003	0	72	844893655	N
0001660694-25-000003	0	227	380530693	N
0001664147-25-000003	0	97	214712	N
0001844716-25-000002	0	933	248344072	N
0002042876-25-000002	0	196	178201752	N
0001172661-25-001514	0	217	212751869	
0001840888-25-000003	0	31	253173584	N
0001172661-25-001513	0	25	120381952	
0001172661-25-001512	0	187	2108251957	
0001641172-25-005365	0	15	190073	N
0001437749-25-012338	0	82	154084034	N
0002011212-25-000004	0	119	272754956	N
0001826790-25-000002	0	158	613074434	N
0000044365-25-000002	0	2024	4067766749	N
0001876326-25-000002	0	175	208810092	N
0001214659-25-006107	0	33	201037854	
0001214659-25-006105	0	33	189773367	
0000878228-25-000006	0	151	1002240	N
0001844709-25-000005	0	135	442212	N
0001367653-25-000003	0	14	171403450	N
0001398344-25-007282	0	491	164080129	
0001965484-25-000002	0	364	174123275	N
