ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001580642-25-003111	197103			000168539	801-78438	LeConte Wealth Management, LLC
0001580642-25-003111	197104			000283553	801-107930	Legacy Financial Strategies, LLC
0001580642-25-003111	197105			000319171	801-123638	Lumiere Financial Group LLC
0001580642-25-003111	197106			000115753	801-63693	Madrona Financial Services, LLC
0001580642-25-003111	197107			000118544	801-60820	Main Street Financial Life Advisors, LLC
0001580642-25-003111	197108			000002903	801-123009	Martin Nelson & Co., Inc.
0001580642-25-003111	197109			000147363	801-69271	Mercer Global Advisors, Inc.
0001580642-25-003111	197110			000110216	801-13452	Meridian Investment Advisors
0001580642-25-003111	197111			000147070		Merit Financial Group, LLC
0001580642-25-003111	197112			000163833	801-76469	MKT Adviors, LLC
0001580642-25-003111	197113			000324624	801-127231	Modern Wealth Management, LLC
0001580642-25-003111	197114			000288429	801-110752	Momentus Wealth Management, Inc.
0001580642-25-003111	197115			000113348	801-63874	Natural Investments PBLLC
0001580642-25-003111	197116			000296798	801-113314	New World Advisors, LLC
0001580642-25-003111	197117			000301764	801-115232	Optivise Advisory Services LLC
0001580642-25-003111	197118			000310327	801-119646	Pallas Capital Advisors, LLC
0001580642-25-003111	197119			000151671	801-70707	Per Stirling Capital Management, LLC
0001580642-25-003111	197120			000325119	801-127980	PFW Advisors LLC
0001580642-25-003111	197121			000155216	801-72060	Private Advisor Group, LLC
0001580642-25-003111	197122			000156480	801-72187	Prosperity Capital Advisors
0001650373-25-000004	197203	0001457320	028-19670			EXCHANGE TRADED CONCEPTS, LLC
0001280965-25-000004	196282	0001520478	028-14481			RWC Asset Management LLP
0001894749-25-000002	196776	0001589176	028-18920			SPX Gestao de Recursos Ltda
0001172661-25-001840	196878	0001697665	028-17708	000161558	801-76758	SAPPHIRE VENTURES, L.L.C.
0002033735-25-000003	196183	0002033266	028-25049	000315963	801-122500	Optimize Financial Inc
0001062993-25-009332	197238	0001058231				LINCLUDEN MANAGEMENT LTD
0001062993-25-009332	197266	0001207017				LAZARD ASSET MANAGEMENT LLC
0001062993-25-009332	197240	0001538449				Mawer Investment Management Ltd.
0001062993-25-009332	197241	0001140601				MFS INVESTMENT MANAGEMENT CANADA LTD
0001062993-25-009332	197242	0001034524				POLEN CAPITAL MANAGEMENT LLC
